osmid,created_by,geometry,amenity,tourism,name,station,railway,cuisine,shop
570697967,,POINT (144.9786117 -37.8607219),telephone,,,,,,
570698815,,POINT (144.9780949 -37.8598748),pub,,George Lane Bar,,,,
570698836,,POINT (144.9777141 -37.8598049),pub,,George Hotel,,,,
570698885,,POINT (144.9781659 -37.8602776),,hostel,Coffee Palace Backpackers,,,,
570698926,,POINT (144.9770247 -37.8601231),taxi,,,,,,
570698933,,POINT (144.9777382 -37.8592093),,,IGA Renaissance,,,,supermarket
570698950,,POINT (144.977367 -37.859499),restaurant,,Pizza e Birra,,,,
570699177,,POINT (144.9772366 -37.8593427),pub,,Metropol,,,,
570737502,,POINT (144.9787635 -37.861734),school,,Alliance Française,,,,
570751106,,POINT (144.9715162 -37.8651197),cafe,,Beachcomber,,,,
570756138,,POINT (144.9778211 -37.8675231),fountain,,,,,,
570756139,,POINT (144.9898621 -37.8686873),place_of_worship,,,,,,
570758510,,POINT (144.978811 -37.8685209),,,Woolworths,,,,supermarket
570758511,,POINT (144.9806027 -37.8685845),,,Coles,,,,supermarket
570758512,,POINT (144.9806564 -37.8692874),pub,,Bigmouth,,,,
570798674,,POINT (144.9784517 -37.8593259),cafe,,Banff Café,,,,
570798937,,POINT (144.9782639 -37.8594148),cafe,,Grocery Bar,,,,
570818470,,POINT (144.9791687 -37.8485358),,hotel,,,,,
571087596,,POINT (144.9740703 -37.8669481),bbq,picnic_site,,,,,
571104504,,POINT (144.9764133 -37.8741655),restaurant,,The Great Provider,,,,
571104584,,POINT (144.9750296 -37.8754199),restaurant,,Riva,,,,
571107208,,POINT (144.9815356 -37.8643083),pub,,Barkly Hotel,,,,
571112838,,POINT (144.9734793 -37.865928),fast_food,,,,,,
571113422,,POINT (144.9722015 -37.8621996),toilets,,,,,,
571316189,,POINT (144.9798417 -37.8848572),fast_food,,,,,,
571316919,,POINT (144.9828431 -37.8821158),cafe,,,,,,
571317106,,POINT (144.982876 -37.8823497),cafe,,Turtle Café,,,,
571322280,,POINT (144.9995578 -37.845501),place_of_worship,,Uniting Church,,,,
571322285,,POINT (144.9996329 -37.8444674),place_of_worship,,St Martin's Anglican Church,,,,
571322838,,POINT (144.9950387 -37.8468593),telephone,,,,,,
571324777,,POINT (144.9806558 -37.8683974),parking,,,,,,
571324809,,POINT (144.9743042 -37.867644),restaurant,,The Stokehouse,,,,
571326761,,POINT (144.9814886 -37.8665976),,,St Kilda Cycles,,,,bicycle
571326779,,POINT (144.9874673 -37.8678426),,,Spoke(n),,,,bicycle
571326924,,POINT (144.9811069 -37.8638066),,,The Classic Bicycle Shop,,,,bicycle
571395166,,POINT (144.9894951 -37.8707575),place_of_worship,,,,,,
571423018,,POINT (145.1119282 -37.8097796),school,,Box Hill Senior Secondary College,,,,
571425614,,POINT (145.1375575 -37.8201852),school,,Box Hill High School,,,,
571425616,,POINT (145.1173014 -37.8026904),school,,Koonung Secondary College,,,,
571425620,,POINT (145.1033754 -37.8126334),school,,Mont Albert Primary School,,,,
571429603,,POINT (145.1093718 -37.8817933),,,Steve's Liquor,,,,alcohol
571429855,,POINT (144.9827483 -37.860038),place_of_worship,,,,,,
571429856,,POINT (144.9766543 -37.8599162),cafe,,Cacao Fine Chocolates,,,,
571452033,,POINT (145.0423725 -37.8743243),place_of_worship,,,,,,
571521697,,POINT (144.9791564 -37.8616271),telephone,,,,,,
571521699,,POINT (144.9790199 -37.861085),,hostel,Oslo,,,,
571522290,,POINT (144.9776211 -37.8604433),cafe,,Miss Jackson,,,,
571647292,,POINT (144.9441336 -37.7709749),bbq,,,,,,
571731578,,POINT (145.2389257 -37.8691772),taxi,,Knox City Taxi Rank,,,,
571736360,,POINT (144.9834857 -37.8025851),bank,,ANZ,,,,
571736533,,POINT (144.9836175 -37.803402),telephone,,,,,,
571737487,,POINT (144.98326 -37.804358),taxi,,Smith Street - Webb Street,,,,
571741491,,POINT (144.983289 -37.8051442),telephone,,,,,,
571774183,,POINT (144.9784805 -37.8673446),taxi,,,,,,
571786303,,POINT (144.9739677 -37.8621794),restaurant,,Circa,,,,
571786310,,POINT (144.9741675 -37.8623922),cafe,,Il Fornaio,,,,
571786314,,POINT (144.974299 -37.8625012),restaurant,,Malaysian Hawker Bar,,,,
572089449,,POINT (144.9776165 -37.858151),school,,St Kilda Park Primary School 2460,,,,
572091214,,POINT (144.9770337 -37.8579005),,,,,,,
572702325,,POINT (144.9752256 -37.8343264),parking,,,,,,
572734366,,POINT (144.9897369 -37.7939596),,,Home Timber and Hardware,,,,hardware
572742361,,POINT (144.990393 -37.79324),post_box,,,,,,
572770761,,POINT (144.9823559 -37.7969009),cafe,,Min Lokal,,,,
572777436,,POINT (144.9804989 -37.7982433),,,McCoppins Wine Shop,,,,alcohol
572780261,,POINT (144.9801662 -37.7983492),,,Bohemio,,,,furniture
572790059,,POINT (144.9786051 -37.7985872),,,Cecil Walker Cycles,,,,bicycle
572793481,,POINT (144.978026 -37.7998879),,,Flowers Vasette,,,,florist
572807540,,POINT (145.2441877 -37.8697963),taxi,,,,,,
572835358,,POINT (144.9789458 -37.7985257),bar,,One Twenty Bar,,,,
572849502,,POINT (144.977913 -37.800459),restaurant,,Madame SouSou,,,french,
572849505,,POINT (144.9781464 -37.7991716),cafe,,Red Tongue,,,,
573023460,,POINT (144.974592 -37.801146),restaurant,,Mon Ami Paris Grill,,,french,
573088804,,POINT (144.978272 -37.7986033),restaurant,,Thai Thani,,,thai,
573779773,,POINT (144.9785347 -37.7968516),cafe,,The Fitz,,,,
573816542,,POINT (144.9893435 -37.7896407),restaurant,,Taco Bill,,,mexican,
573818021,,POINT (144.989718 -37.788708),,,Foodworks,,,,supermarket
573825139,,POINT (144.990448 -37.788441),bank,,Commonwealth Bank,,,,
574039007,,POINT (144.949554 -37.805368),pub,,Three Crowns Hotel,,,,
574042586,,POINT (144.945193 -37.802681),post_box,,,,,,
574118466,,POINT (144.945385 -37.802155),fast_food,,That's Amore Pizza,,,pizza,
574123161,,POINT (144.949549 -37.804614),,,North Melbourne Supa IGA + Liquor,,,,supermarket
574124500,,POINT (144.951633 -37.8052822),telephone,,,,,,
574126202,,POINT (144.9557059 -37.805652),pub,,Victoria Hotel,,,,
574127108,,POINT (144.956351 -37.8056806),restaurant,,La Porchetta,,,italian,
574296418,,POINT (145.2442881 -37.87019),,,Thirsty Camel,,,,alcohol
575277677,,POINT (144.9885113 -37.8513691),pub,,Prahran Hotel,,,,
575345906,,POINT (144.978317 -37.842432),post_office,,,,,,
575347508,,POINT (144.979224 -37.845125),,,7-Eleven,,,,convenience
575348037,,POINT (144.979353 -37.847712),post_box,,,,,,
575349121,,POINT (144.97929 -37.847607),telephone,,,,,,
575355714,,POINT (144.993179 -37.851966),pub,,Lucky Coq,,,,
575356730,,POINT (144.993573 -37.852015),,,7-Eleven,,,,convenience
575357389,,POINT (144.99909 -37.852789),post_box,,,,,,
575359770,,POINT (144.9996315 -37.8524788),kindergarten,,High Street Early Learning Centre,,,,
575367724,,POINT (145.0026463 -37.853326),pub,,Mt. Erica,,,,
575368290,,POINT (145.0023029 -37.8533853),telephone,,,,,,
575370019,,POINT (145.002229 -37.853274),pharmacy,,Mulqueeny Midnight Pharmacy,,,,
575402653,,POINT (144.978991 -37.847698),,hotel,Seasons Heritage Melbourne,,,,
575403411,,POINT (144.979265 -37.84535),fast_food,,Burger Edge,,,,
575405585,,POINT (144.977157 -37.841326),post_box,,,,,,
575408994,,POINT (144.975482 -37.836975),cafe,,Gloria Jean's Coffees,,,,
575410313,,POINT (144.975495 -37.837123),,,7-Eleven,,,,convenience
575412279,,POINT (144.973219 -37.833924),post_box,,,,,,
575415254,,POINT (144.971073 -37.832225),cafe,,Cafe Saporo,,,,
575416374,,POINT (144.970042 -37.83294),cafe,,Deuce Cafe,,,,
575417952,,POINT (144.969874 -37.832994),restaurant,,The Olive Tree Bistro,,,italian,
575420235,,POINT (144.9711674 -37.8321316),,,Parkside News & Lotto,,,,newsagent
575455085,,POINT (145.0002055 -37.8524619),,,,,,,
575455086,,POINT (145.0002268 -37.8526737),toilets,,,,,,
575455088,,POINT (145.0004401 -37.8530739),place_of_worship,,Church of St Demetrios,,,,
576796691,,POINT (144.993213 -37.851602),pharmacy,,Prahran Amcal Pharmacy,,,,
576798699,,POINT (144.993065 -37.854942),pub,,Union Hotel,,,,
576799509,,POINT (144.992613 -37.8553),post_office,,Windsor Post Office,,,,
576800317,,POINT (144.993332 -37.8534427),,,Windsor Convenience Store,,,,convenience
576801078,,POINT (144.99345 -37.8528073),pub,,The Swan Hotel,,,,
576843551,,POINT (144.9927339 -37.8515451),place_of_worship,,St Matthews Anglican Church,,,,
576843552,,POINT (144.9940776 -37.8546583),,,,,,,
576843553,,POINT (144.9924361 -37.8560052),toilets,,,,,,
576843554,,POINT (144.9925472 -37.8557913),telephone,,,,,,
576851605,,POINT (144.9780522 -37.8601046),nightclub,,Tongue and Groove,,,,
576854416,,POINT (144.9768414 -37.8597499),pub,,The Saint,,,,
576857802,,POINT (144.9774365 -37.8600178),,,Let$ave Minimart,,,,convenience
576869087,,POINT (144.9930543 -37.8526642),fast_food,,Grill'd,,,burger,
576878164,,POINT (145.1275886 -37.8757886),cafe,,Cafe Vermeer,,,coffee_shop,
576878930,,POINT (144.9669742 -37.8177502),,,City Hatters,,,,clothes
577055832,,POINT (145.0728056 -37.9742416),post_box,,,,,,
577071404,,POINT (145.068267 -37.9705582),post_box,,,,,,
577072359,,POINT (145.0687847 -37.9705899),,,,,,,supermarket
577083925,,POINT (145.0640586 -37.9728461),pub,,Royal Oak Hotel,,,,
577087049,,POINT (145.0595072 -37.965601),place_of_worship,,Our Lady of Assumption,,,,
577087052,,POINT (145.0590566 -37.9655546),school,,Our Lady of Assumption,,,,
577243373,,POINT (144.9732146 -37.8504843),,picnic_site,,,,,
577243374,,POINT (144.9727949 -37.8496799),,picnic_site,,,,,
577436651,,POINT (144.99575 -37.839769),,,7-Eleven,,,,convenience
577449602,,POINT (144.996116 -37.839629),restaurant,,Kagu Ra Zaka,,,japanese,
577449830,,POINT (144.995454 -37.839612),,,Country Road,,,,clothes
577449855,,POINT (144.995548 -37.839006),,,Freedom,,,,furniture
577449989,,POINT (144.996381 -37.839663),restaurant,,268 On Toorak,,,,
577450591,,POINT (144.995332 -37.83932),nightclub,,Q12,,,,
577451075,,POINT (144.986967 -37.838273),restaurant,,France-Soir,,,french,
577452622,,POINT (144.9823405 -37.8343744),,,Domain Dry Cleaners,,,,dry_cleaning
577461668,,POINT (145.1279266 -37.8757748),,,BOSS Hair Design,,,,hairdresser
577493135,,POINT (144.9722122 -37.8657003),restaurant,,Soulmama,,,,
577493171,,POINT (144.9718453 -37.8652948),swimming_pool,,St Kilda Sea Baths,,,,
577493240,,POINT (144.9721639 -37.8657522),restaurant,,Republica,,,,
577493638,,POINT (144.9750841 -37.8685652),restaurant,,Donovans,,,,
577498558,,POINT (144.9729231 -37.8626802),restaurant,,One Fitzroy Street,,,,
577510559,,POINT (145.0543013 -37.959876),bar,,Red Corner Cafe,,,,
577511424,,POINT (145.0652074 -37.9831032),school,,Kilbreda,,,,
577511628,,POINT (145.0541353 -37.9654949),parking,,,,,,
577511629,,POINT (145.0547146 -37.9665056),parking,,,,,,
577511630,,POINT (145.0548219 -37.9673345),parking,,,,,,
577511631,,POINT (145.0538241 -37.965922),parking,,,,,,
577511634,,POINT (145.0570643 -37.9639723),pub,,Tudor Inn,,,,
577519937,,POINT (145.0738593 -37.9677896),pharmacy,,,,,,
577519942,,POINT (145.0738986 -37.9678799),post_office,,,,,,
577519953,,POINT (145.0724314 -37.9741836),place_of_worship,,,,,,
577984611,,POINT (145.0017756 -37.9055951),pub,,Hotel Brighton,,,,
577989714,,POINT (145.0023029 -37.9053835),cafe,,Pod,,,,
577991182,,POINT (145.0026678 -37.9056583),,,7 Eleven,,,,convenience
578390766,,POINT (144.9708854 -37.829439),,,IGA Xpress + Liquor,,,,convenience
578393370,,POINT (144.9697954 -37.8305467),cafe,,The Original Cafe,,,,
578566508,,POINT (144.9823261 -37.8344339),,,Domain Butchers,,,,butcher
578809337,,POINT (144.9711942 -37.8322206),,,Rotana Travel,,,,travel_agency
578813477,,POINT (144.9698812 -37.8304958),restaurant,,August Restaurant,,,japanese,
578828287,,POINT (144.971067 -37.8315805),cafe,,Royal Domain Café,,,,
578829102,,POINT (144.9710399 -37.8314873),cafe,,Cafe La Venice,,,,
578831855,,POINT (144.9709916 -37.8312839),restaurant,,Daikoku Sushi Xpress,,,japanese,
578833729,,POINT (144.97074 -37.8309153),,hotel,Seasons Botanic Gardens Melbourne,,,,
578839871,,POINT (144.969642 -37.830586),,,Letsave Mini Mart,,,,convenience
578895437,,POINT (144.969752 -37.832148),restaurant,,Rocket Pizza,,,italian,
578895443,,POINT (144.969731 -37.832072),cafe,,Not All There,,,,
578895449,,POINT (144.969699 -37.8319999),fast_food,,Kebabs R Yummy,,,kebab,
578895454,,POINT (144.9696912 -37.8319279),restaurant,,Peko Peko,,,taiwanese,
578895459,,POINT (144.969664 -37.831831),cafe,,Wells Corner Milk & Sandwich Bar,,,,
579414072,,POINT (144.978524 -37.7969236),,,Halsinky Project,,,,clothes
579415189,,POINT (144.9785186 -37.7969681),,,Gizmo Gifts,,,,gift
579417597,,POINT (144.9785133 -37.7970169),,,Milk Bar,,,,convenience
579419184,,POINT (144.9785079 -37.7970741),restaurant,,The Oven,,,pizza,
579421028,,POINT (144.978481 -37.797243),,,Maxine's,,,,clothes
580202895,,POINT (144.9699547 -37.8334559),brothel,,Pink Palace,,,,
580225713,,POINT (144.9762257 -37.8363199),cafe,,Cafe Rosco,,,,
580269484,,POINT (144.9758585 -37.8357977),pharmacy,,Melbourne Boulevard Pharmacy,,,,
580269518,,POINT (144.9760487 -37.8360191),,hotel,Albert Park Manor,,,,
580269521,,POINT (144.9759728 -37.8359682),,,Manor Kwik-E-Mart,,,,convenience
580269524,,POINT (144.9753728 -37.8351251),bar,,Amberoom,,,,
580269528,,POINT (144.9754723 -37.8352395),restaurant,,dish,,,,
580429910,,POINT (145.2135275 -37.8523478),bench,,,,,,
580624461,,POINT (144.9802089 -37.8628812),,,Sacred Heart Op Shop,,,,op_shop
580626198,,POINT (144.9813215 -37.8640141),cafe,,Dr Jekyll,,,,
580626582,,POINT (144.9814817 -37.864319),,hostel,St Kilda Beachhouse,,,,
580627947,,POINT (144.982124 -37.8642491),cafe,,Inkr7,,,,
580629187,,POINT (144.9822662 -37.8642745),restaurant,,Mr Wolf,,,,
580630114,,POINT (144.9819121 -37.864247),,,The Bitch is Back,,,,yes
580633018,,POINT (144.9803632 -37.8632126),,,Milk bar,,,,convenience
580713985,,POINT (144.9775159 -37.8029307),,,My Beautiful Laundrette,,,,laundry
580716626,,POINT (144.977596 -37.802464),restaurant,,Umago,,,,
580720129,,POINT (144.9776055 -37.8022426),restaurant,,De Los Santos,,,spanish,
580722996,,POINT (144.977554 -37.802712),,,KimChi Korean Japanese Grocery,,,,supermarket
580800471,,POINT (144.9854448 -37.9100535),cafe,,The Baths,,,,
581429477,,POINT (145.2150406 -37.8814829),,,,,,,
581431512,,POINT (144.89851 -37.819099),,,Grain and Grape,,,,doityourself
581941915,,POINT (144.98958 -37.821557),pub,,Royal Hotel,,,,
581945414,,POINT (144.9901706 -37.8177241),,,Richmond Jolimont Convenience Store,,,,convenience
581958848,,POINT (144.979265 -37.8061016),pub,,Gertrude Hotel,,,,
582225717,,POINT (145.2891307 -37.9164511),,,,,,,
582300020,,POINT (144.9835962 -37.8017841),,,Fitzroy's Finest Fruit & Vegies,,,,greengrocer
582300594,,POINT (144.9839009 -37.8024501),bank,,NAB,,,,
582301639,,POINT (144.986536 -37.790867),,,Clifton Hill Hardware and Garden Centre,,,,hardware
582302733,,POINT (144.994034 -37.785851),telephone,,,,,,
582302916,,POINT (144.994546 -37.785213),pub,,Terminus Hotel,,,,
582304694,,POINT (145.2153998 -37.8799132),,,,,,,
582304749,,POINT (144.9973808 -37.7887974),pub,,Royal Hotel,,,,
582304781,,POINT (144.997757 -37.7887273),cafe,,Café Quince,,,,
582304872,,POINT (144.9977811 -37.7886425),telephone,,,,,,
582304885,,POINT (144.9976765 -37.7888524),post_box,,,,,,
582305793,,POINT (144.9977516 -37.7889075),fast_food,,What's Fishin' Fish & Chippery,,,,
582305890,,POINT (144.9977543 -37.7888524),,,Hairstar,,,,hairdresser
582306050,,POINT (144.997191 -37.788473),,,Clifton Hill Newsagency,,,,newsagent
582458364,,POINT (145.0001138 -37.7879325),,,New Mini World Milk Bar,,,,convenience
582472656,,POINT (145.0861257 -37.909822),post_office,,Oakleigh South Post Office,,,,
582475102,,POINT (145.0924844 -37.9000941),parking,,Oakleigh Shopping Centre Car Park,,,,
582477340,,POINT (145.0791184 -37.8961129),drinking_water,,,,,,
582477584,,POINT (145.0859835 -37.909803),pharmacy,,,,,,
582477989,,POINT (145.0858561 -37.9097786),toilets,,,,,,
582553483,,POINT (145.1093565 -37.8048882),,,,,,,
582558472,,POINT (145.1294368 -37.801367),,,,,,,
582730921,,POINT (144.9708598 -37.8304843),library,,Christian Science Reading Room,,,,
582732608,,POINT (144.96953 -37.831875),,,Food Puzzle Asian Grocery,,,,convenience
582775240,,POINT (144.9688969 -37.8329101),dentist,,Park Street Dental,,,,
582776020,,POINT (144.969375 -37.834565),fast_food,,Long Dragon Dumpling House,,,chinese,
582778609,,POINT (144.967455 -37.837184),cafe,,Caffe Celentano,,,,
582778669,,POINT (144.9670822 -37.8363769),telephone,,,,,,
582778690,,POINT (144.9667979 -37.8364701),cafe,,Ideal Terrace Cafe,,,,
582778755,,POINT (144.966575 -37.835812),cafe,,Cafe Den,,,,
582779599,,POINT (144.968603 -37.8333509),brothel,,The Harem,,,,
582785631,,POINT (144.9675983 -37.8385382),,,,,,,
582792850,,POINT (145.1569728 -37.8812308),,,,,,,
582792851,,POINT (145.1567247 -37.8807116),parking,,,,,,
582792852,,POINT (145.1715995 -37.8893667),parking,,,,,,
582792853,,POINT (145.1713501 -37.8895677),parking,,,,,,
582844967,,POINT (144.9782036 -37.7992084),atm,,NAB,,,,
582845252,,POINT (144.9781506 -37.7992342),restaurant,,Sushi Link,,,japanese;chinese,
582845533,,POINT (144.978146 -37.7992836),cafe,,Le Gourmet Cakes,,,,
582845633,,POINT (144.9781405 -37.7993313),,,Jasper Junior,,,,toys
583063466,,POINT (144.9830271 -37.8613837),,,,,,,
583067216,,POINT (145.14381 -37.8915244),,,Coles,,,,supermarket
583067217,,POINT (145.140134 -37.888842),,,,,,,
583067218,,POINT (145.1427291 -37.8917007),cinema,,Waverley Cinema,,,,
583067219,,POINT (145.1434021 -37.893305),,hotel,Hotel Bruce County,,,,
583067220,,POINT (145.1440058 -37.89323),restaurant,,Clancy's Grill,,,,
583067225,,POINT (145.1440742 -37.8910016),pharmacy,,Pinewood Centreway Pharmacy,,,,
583071809,,POINT (144.95945 -37.830998),,,7-Eleven,,,,convenience
583074867,,POINT (144.9597685 -37.8317769),pub,,Golden Gate Hotel,,,,
583076142,,POINT (144.9602239 -37.8326346),fast_food,,Nando's,,,chicken,
583078708,,POINT (144.9602722 -37.8327999),fast_food,,Grill'd,,,burger,
583080488,,POINT (144.9603151 -37.8328804),,,In Full Bloom,,,,florist
583082259,,POINT (144.9607174 -37.8327533),cafe,,Max Brenner Chocolate Bar,,,,
583086678,,POINT (144.960526 -37.833143),pharmacy,,Imes Pharmacy,,,,
583091322,,POINT (144.9578172 -37.8301075),post_box,,,,,,
583091324,,POINT (144.9568991 -37.830599),pharmacy,,Amcal South Melbourne Pharmacy,,,,
583092106,,POINT (144.9609368 -37.8319294),,,Coles,,,,supermarket
583093687,,POINT (145.1353517 -37.8885272),parking,,,,,,
583093688,,POINT (145.1351693 -37.888298),parking,,,,,,
583093689,,POINT (145.1371025 -37.8840769),,,,,,,
583093690,,POINT (145.1370683 -37.8801229),,,,,,,
583093691,,POINT (145.1490242 -37.8791951),,,Fiander Avenue Playground,,,,
583094217,,POINT (144.9565349 -37.8321107),parking,,,,,,
583443487,,POINT (144.966769 -37.832889),cafe,,Bella Barista,,,,
583444563,,POINT (144.9638666 -37.8334741),cafe,,La Bocā del Sur,,,,
583444586,,POINT (144.961895 -37.834076),,,Prince Wine Store,,,,alcohol
583444736,,POINT (144.961305 -37.834181),,,Florsheim Factory Outlet,,,,clothes
583447840,,POINT (144.96229 -37.834945),taxi,,Park Street Taxi Rank,,,,
583448401,,POINT (144.963765 -37.834461),doctors,,Dr John Vissaritis,,,,
583448899,,POINT (144.9656369 -37.8340164),taxi,,,,,,
583450134,,POINT (144.9015182 -37.769305),pub,,Anglers Tavern,,,,
583450916,,POINT (145.2162329 -37.8555472),fast_food,,Fish Galore and More,,,,
583459440,,POINT (145.1496259 -37.8926661),,,,,,,
583459516,,POINT (145.1465387 -37.8842009),doctors,,Waverley Consulting Suites,,,,
583459517,,POINT (145.1466996 -37.8847259),doctors,,Obstetricians & Gynaecologists,,,,
583474141,,POINT (145.2273959 -37.8482019),,,Cold Rock,,,,ice_cream
583474524,,POINT (144.9603726 -37.8347011),library,,Emerald Hill Library,,,,
583475151,,POINT (144.9606285 -37.8344164),cafe,,Emerald Hill Cafe,,,,
583478907,,POINT (144.963448 -37.8092472),pharmacy,,Union Health Pharmacy,,,,
584384873,,POINT (144.9610011 -37.8344156),restaurant,,Wood 'n Chimney,,,,
584388607,,POINT (144.960296 -37.834586),telephone,,,,,,
584393900,,POINT (144.9609609 -37.8343054),,,Rokk Ebony,,,,hairdresser
584400749,,POINT (144.9611379 -37.8347122),,,South Melbourne Optical,,,,optician
584402678,,POINT (144.9611621 -37.8347609),,,Lana Berg,,,,clothes
584404567,,POINT (144.960977 -37.8343393),,,BelleBika,,,,clothes
584407440,,POINT (144.9611916 -37.8348223),,,Colours of Australia,,,,gift
584409386,,POINT (144.9612157 -37.8348753),,,Rox Hair Design,,,,hairdresser
584411202,,POINT (144.9612398 -37.8349282),cafe,,Miss Molly's Tea Lounge,,,,
584413498,,POINT (144.961264 -37.834977),cafe,,Daily Grind,,,,
584464477,,POINT (144.961318 -37.835123),,,Gazman,,,,clothes
584464483,,POINT (144.9613042 -37.8350829),fast_food,,South Melbourne Fish & Chips,,,,
584904439,,POINT (144.978477 -37.799489),cafe,,Atomica Caffé,,,,
584910550,,POINT (144.977868 -37.800815),cafe,,Gutz,,,,
585128022,,POINT (145.1755021 -38.0967754),fuel,,BP,,,,
585128026,,POINT (145.0665727 -37.9772802),fuel,,BP,,,,
585128029,,POINT (145.2065347 -37.9783746),fuel,,BP,,,,
585128034,,POINT (145.2324174 -38.1085798),fuel,,BP,,,,
585128036,,POINT (145.2403782 -38.0782261),fuel,,BP,,,,
585128120,,POINT (145.0071919 -37.9004542),fuel,,BP,,,,
585128122,,POINT (144.9702038 -37.8343106),fuel,,BP Kingsway,,,,
585128127,,POINT (145.0001404 -37.8261198),fuel,,BP,,,,
585128128,,POINT (144.997166 -37.8311974),fuel,,BP,,,,
585128131,,POINT (144.9038824 -37.8047671),fuel,,BP,,,,
585128132,,POINT (144.9576356 -37.8275643),fuel,,BP,,,,
585128133,,POINT (145.0898886 -37.8935918),fuel,,BP,,,,
585128135,,POINT (145.0901437 -37.8927617),fuel,,,,,,
585128136,,POINT (145.0895616 -37.8845898),fuel,,BP - Chadstone,,,,
585128140,,POINT (145.0856509 -37.908156),fuel,,BP,,,,
585128160,,POINT (145.0190308 -37.9010366),,,,,,,convenience
585128162,,POINT (145.1887833 -37.8363821),fuel,,BP,,,,
585128165,,POINT (145.0660995 -37.8620688),fuel,,BP,,,,
585128180,,POINT (145.1509843 -37.8601833),fuel,,BP,,,,
585193208,,POINT (144.9792199 -37.8670419),,,,,,,clothing
585194464,,POINT (144.979818 -37.8671138),,hostel,Base St Kilda,,,,
585196132,,POINT (144.9790401 -37.8670228),cafe,,Galleon Café,,,,
585196148,,POINT (144.9805382 -37.8672064),cafe,,Irwell's,,,,
585196887,,POINT (144.9797025 -37.866758),,hotel,Cosmopolitan Hotel,,,,
585196894,,POINT (144.9808775 -37.8679058),,,,,,,doityourself
585196940,,POINT (144.9781002 -37.8666091),fast_food,,Greasy Joe's,,,,
585344628,,POINT (144.9657329 -37.8149886),theatre,,RMIT Capitol Theatre,,,,
585345053,,POINT (144.9672426 -37.8162588),cafe,,Brunetti,,,,
585586336,,POINT (144.972633 -37.833443),taxi,,,,,,
585589573,,POINT (144.971609 -37.833227),telephone,,,,,,
585667216,,POINT (145.0657122 -37.96669),post_box,,,,,,
585668564,,POINT (145.0533528 -37.9646056),parking,,,,,,
585668565,,POINT (145.0503756 -37.9654408),parking,,,,,,
585671701,,POINT (145.0733203 -37.9673592),doctors,,,,,,
585676168,,POINT (145.0637341 -37.9824936),post_office,,Mentone,,,,
585686496,,POINT (145.0595284 -37.9733304),,,,,,,
585686500,,POINT (145.0616527 -37.9764935),,,,,,,
585686503,,POINT (145.0794089 -37.9779946),,,,,,,
585686505,,POINT (145.0848699 -38.0086828),,,,,,,
585686508,,POINT (145.0875413 -38.005259),doctors,,McDonald Street Medical Centre,,,,
585686531,,POINT (145.0722313 -37.9751488),,,Reg Marlow Reserve,,,,
585686534,,POINT (145.0686049 -37.9721337),,,,,,,
585686535,,POINT (145.0715983 -37.9709369),,,,,,,
585711348,,POINT (145.0806521 -37.9475478),restaurant,,Arco Cafe / Restaurant,,,,
585711371,,POINT (145.0761554 -37.9579203),fast_food,,Nando's,,,,
585773287,,POINT (145.212442 -37.8459989),,information,,,,,
586441231,,POINT (144.9787348 -37.8840362),parking,,,,,,
586450795,,POINT (144.9930819 -37.8838023),parking,,,,,,
586458966,,POINT (144.9853156 -37.8887156),,picnic_site,,,,,
586460248,,POINT (144.9840656 -37.8882848),parking,,,,,,
586508340,,POINT (144.9818239 -37.8398489),toilets,,,,,,
586510248,,POINT (144.9817167 -37.8431512),toilets,,,,,,
587554832,,POINT (144.90624 -37.770566),post_box,,,,,,
587555311,,POINT (144.897615 -37.769471),telephone,,,,,,
587555386,,POINT (144.8968887 -37.7698301),fuel,,United,,,,
587562978,,POINT (144.8864033 -37.7733625),library,,Highpoint Library,,,,
587562997,,POINT (144.886245 -37.77355),post_box,,,,,,
587563039,,POINT (144.8859518 -37.7725572),telephone,,,,,,
587617415,,POINT (144.8974198 -37.769317),fuel,,Mobil,,,,
587753799,,POINT (144.9810828 -37.8637536),restaurant,,Bedouin Kitchen,,,Middle-eastern,
587753801,,POINT (144.9770246 -37.8667986),cafe,,Phamish,,,,
587754233,,POINT (144.9779889 -37.8664132),cafe,,,,,,
587754387,,POINT (144.9809393 -37.8672422),,,,,,,locksmith
587754461,,POINT (144.980769 -37.8688694),,,,,,,liquor
587754490,,POINT (144.9807529 -37.8689097),,,,,,,delicatessen
588149290,,POINT (144.910677 -37.77132),telephone,,,,,,
588149767,,POINT (144.905088 -37.770361),restaurant,,Indian Star,,,indian,
588172647,,POINT (144.883053 -37.775035),,,Ruiz Car Care Pty Ltd,,,,car_repair
588172781,,POINT (144.883408 -37.77512),,,Highpoint Muffler Centre,,,,car_parts
588173110,,POINT (144.885821 -37.769642),,,Bridgestone Tyre Centre,,,,car_parts
588177634,,POINT (144.953407 -37.8169789),post_box,,,,,,
588178380,,POINT (144.954346 -37.816591),,,CBD Cycles,,,,bicycle
588178507,,POINT (144.9541098 -37.8166802),cafe,,Langleys,,,,
588178960,,POINT (144.9552063 -37.8167994),pub,,Royal Melbourne Hotel,,,,
588179778,,POINT (144.9609115 -37.8148062),telephone,,,,,,
588179859,,POINT (144.9628853 -37.814624),bank,,Commonwealth Bank Centre,,,,
588239795,,POINT (144.9769929 -37.8804838),bbq,,,,,,
